,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
228,NOLSM763297763,1,2,1,1,1,12111,12
229,NOLSM8523215,1,2,1,1,1,12111,84
230,NOLSM2531010,1,2,1,1,1,12111,89
231,NOLSM8023019,1,2,1,1,1,12111,18
232,NOLSM277117277,1,2,1,1,1,12111,140
233,NOLSM274114274,1,2,1,1,1,12111,37
234,NOLSM271111271,1,2,1,1,1,12111,221
235,NOLSM4031525,1,2,1,1,1,12111,60
236,NOLSM5531,1,2,1,1,1,12111,115
237,NOLSM275115275,1,2,1,2,2,12122,39
238,NOLSM292229,1,2,1,2,2,12122,109
239,NOLSM278118278,1,2,1,2,2,12122,105
240,NOLSM272112272,1,2,1,2,2,12122,84
241,NOLSM515202515,1,2,1,2,2,12122,87
242,NOLSM518205518,1,2,1,2,2,12122,69
243,NOLSM322532,1,2,1,2,2,12122,149
244,NOLSM352835,1,2,1,2,2,12122,176
245,NOLSM521208521,1,2,1,2,2,12122,24
246,NOLSM761295761,1,2,1,2,2,12122,354
247,NOLSM764298764,1,2,1,2,2,12122,6
248,NOLSM758292758,1,2,1,2,2,12122,132
249,NOLSM127519,1,2,1,3,3,12133,75
250,NOLSM516203516,1,2,1,3,3,12133,93
251,NOLSM759293759,1,2,1,3,3,12133,150
252,NOLSM3023,1,2,1,3,3,12133,93
253,NOLSM4271622,1,2,1,3,3,12133,259
254,NOLSM228912,1,2,1,3,3,12133,193
255,NOLSM676261,1,2,1,3,3,12133,156
256,NOLSM77323,1,2,1,3,3,12133,160
257,NOLSM762296762,1,2,1,3,3,12133,9
258,NOLSM273113273,1,2,1,3,3,12133,56
259,NOLSM765299765,1,2,1,3,3,12133,0
260,NOLSM302330,1,2,1,3,3,12133,93
261,NOLSM279119279,1,2,1,3,3,12133,118
262,NOLSM8263116,1,2,1,3,3,12133,111
263,NOLSM7262724,1,2,1,3,3,12133,57
264,NOLSM278118,1,2,1,3,3,12133,105
265,NOLSM178716,1,2,1,3,3,12133,72
266,NOLSM4751816,1,2,1,3,3,12133,57
267,NOLSM276116276,1,2,1,3,3,12133,70
268,NOLSM519206519,1,2,1,3,3,12133,69
269,NOLSM5772210,1,2,1,3,3,12133,69
270,NOLSM628247,1,2,1,3,3,12133,66
271,NOLSM522209522,1,2,1,3,3,12133,39
272,NOLSM379151,1,2,1,3,3,12133,70
273,NOLSM332633,1,2,1,3,3,12133,77
274,NOLSM5262013,1,2,1,3,3,12133,51
275,NOLSM362936,1,2,1,3,3,12133,115
276,NOLSM329135,1,2,1,3,3,12133,79
277,NOLSM7782922,1,2,1,3,3,12133,78
278,NOLSM7692913769,1,2,2,1,1,12211,15
279,NOLSM4021340,1,2,2,1,1,12211,132
280,NOLSM2801110280,1,2,2,1,1,12211,61
281,NOLSM3721037,1,2,2,1,1,12211,69
282,NOLSM7662910766,1,2,2,1,1,12211,21
283,NOLSM7722916772,1,2,2,1,1,12211,54
284,NOLSM5292016529,1,2,2,1,1,12211,114
285,NOLSM4321643,1,2,2,1,1,12211,125
286,NOLSM2861116286,1,2,2,1,1,12211,84
287,NOLSM5232010523,1,2,2,1,1,12211,204
288,NOLSM5262013526,1,2,2,1,1,12211,51
289,NOLSM2831113283,1,2,2,1,1,12211,80
290,NOLSM5302017530,1,2,2,2,2,12222,135
291,NOLSM128520,1,2,2,2,2,12222,104
292,NOLSM6042310,1,2,2,2,2,12222,228
293,NOLSM5272014,1,2,2,2,2,12222,93
294,NOLSM5242011524,1,2,2,2,2,12222,18
295,NOLSM279119,1,2,2,2,2,12222,118
296,NOLSM5782211,1,2,2,2,2,12222,99
297,NOLSM330136,1,2,2,2,2,12222,96
298,NOLSM380152,1,2,2,2,2,12222,107
299,NOLSM5632,1,2,2,2,2,12222,190
300,NOLSM155620,1,2,2,2,2,12222,107
301,NOLSM103422,1,2,2,2,2,12222,95
302,NOLSM515,1,2,2,2,2,12222,143
303,NOLSM652254,1,2,2,2,2,12222,390
304,NOLSM5021916,1,2,2,2,2,12222,216
305,NOLSM78324,1,2,2,2,2,12222,121
306,NOLSM5272014527,1,2,2,2,2,12222,93
307,NOLSM2811111281,1,2,2,2,2,12222,113
308,NOLSM7702914770,1,2,2,2,2,12222,102
309,NOLSM7272725,1,2,2,2,2,12222,144
310,NOLSM304127,1,2,2,2,2,12222,118
311,NOLSM7672911767,1,2,2,2,2,12222,6
312,NOLSM7732917773,1,2,2,2,2,12222,84
313,NOLSM2871117287,1,2,2,2,2,12222,30
314,NOLSM229913,1,2,2,2,2,12222,132
315,NOLSM7542825,1,2,2,2,2,12222,141
316,NOLSM4121441,1,2,2,2,2,12222,99
317,NOLSM2841114284,1,2,2,2,2,12222,139
318,NOLSM3821138,1,2,2,2,2,12222,128
319,NOLSM4281623,1,2,2,2,2,12222,98
320,NOLSM703271,1,2,2,2,2,12222,666
321,NOLSM4421744,1,2,2,2,2,12222,97
322,NOLSM356145,1,2,2,2,2,12222,95
323,NOLSM2821112282,1,2,2,3,3,12233,85
324,NOLSM5282015528,1,2,2,3,3,12233,126
325,NOLSM5252012525,1,2,2,3,3,12233,66
326,NOLSM4521845,1,2,2,3,3,12233,62
327,NOLSM5312018531,1,2,2,3,3,12233,54
328,NOLSM3921239,1,2,2,3,3,12233,129
329,NOLSM4221542,1,2,2,3,3,12233,62
330,NOLSM7742918774,1,2,2,3,3,12233,30
331,NOLSM7682912768,1,2,2,3,3,12233,6
332,NOLSM2851115285,1,2,2,3,3,12233,54
333,NOLSM7712915771,1,2,2,3,3,12233,45
334,NOLSM2881118288,1,2,2,3,3,12233,48
335,NOLSM3124,1,2,3,1,1,12311,42
336,NOLSM5282015,1,2,3,1,1,12311,126
337,NOLSM677262,1,2,3,1,1,12311,102
338,NOLSM7282726,1,2,3,1,1,12311,132
339,NOLSM381153,1,2,3,1,1,12311,77
340,NOLSM7812925781,1,2,3,1,1,12311,117
341,NOLSM629248,1,2,3,1,1,12311,48
342,NOLSM7782922778,1,2,3,1,1,12311,78
343,NOLSM5382025538,1,2,3,1,1,12311,117
344,NOLSM230914,1,2,3,1,1,12311,127
345,NOLSM5352022535,1,2,3,1,1,12311,258
346,NOLSM5322019532,1,2,3,1,1,12311,117
347,NOLSM179717,1,2,3,1,1,12311,81
348,NOLSM4291624,1,2,3,1,1,12311,70
349,NOLSM2801110,1,2,3,1,1,12311,61
350,NOLSM79325,1,2,3,1,1,12311,79
351,NOLSM129521,1,2,3,1,1,12311,85
352,NOLSM7752919775,1,2,3,1,1,12311,48
353,NOLSM4922249,1,2,3,1,1,12311,171
354,NOLSM2891119289,1,2,3,1,1,12311,15
355,NOLSM4761817,1,2,3,1,1,12311,15
356,NOLSM2951125295,1,2,3,1,1,12311,187
357,NOLSM8273117,1,2,3,1,1,12311,39
358,NOLSM4621946,1,2,3,1,1,12311,157
359,NOLSM5792212,1,2,3,1,1,12311,66
360,NOLSM7792923,1,2,3,1,1,12311,96
361,NOLSM2921122292,1,2,3,1,1,12311,89
362,NOLSM331137,1,2,3,1,1,12311,115
363,NOLSM5222552,1,2,3,1,1,12311,94
364,NOLSM5022350,1,2,3,2,2,12322,59
365,NOLSM5332020533,1,2,3,2,2,12322,75
366,NOLSM7762920776,1,2,3,2,2,12322,15
367,NOLSM2901120290,1,2,3,2,2,12322,121
368,NOLSM5362023536,1,2,3,2,2,12322,156
369,NOLSM7822926782,1,2,3,2,2,12322,186
370,NOLSM5322653,1,2,3,2,2,12322,114
371,NOLSM4722047,1,2,3,2,2,12322,184
372,NOLSM2931123293,1,2,3,2,2,12322,110
373,NOLSM7792923779,1,2,3,2,2,12322,96
374,NOLSM5392026539,1,2,3,2,2,12322,66
375,NOLSM2961126296,1,2,3,2,2,12322,117
376,NOLSM2541011,1,2,3,3,3,12333,165
377,NOLSM704272,1,2,3,3,3,12333,72
378,NOLSM7802924780,1,2,3,3,3,12333,33
379,NOLSM4521720,1,2,3,3,3,12333,161
380,NOLSM5372024537,1,2,3,3,3,12333,90
381,NOLSM5342021534,1,2,3,3,3,12333,120
382,NOLSM5402027540,1,2,3,3,3,12333,102
383,NOLSM616,1,2,3,3,3,12333,49
384,NOLSM653255,1,2,3,3,3,12333,453
385,NOLSM205816,1,2,3,3,3,12333,97
386,NOLSM6052311,1,2,3,3,3,12333,201
387,NOLSM7552826,1,2,3,3,3,12333,93
388,NOLSM305128,1,2,3,3,3,12333,120
389,NOLSM7772921777,1,2,3,3,3,12333,66
390,NOLSM357146,1,2,3,3,3,12333,218
391,NOLSM2911121291,1,2,3,3,3,12333,96
392,NOLSM5422754,1,2,3,3,3,12333,157
393,NOLSM5122451,1,2,3,3,3,12333,42
394,NOLSM5031917,1,2,3,3,3,12333,216
395,NOLSM7832927783,1,2,3,3,3,12333,207
396,NOLSM104423,1,2,3,3,3,12333,102
397,NOLSM5733,1,2,3,3,3,12333,76
398,NOLSM4041526,1,2,3,3,3,12333,54
399,NOLSM156621,1,2,3,3,3,12333,75
400,NOLSM2941124294,1,2,3,3,3,12333,118
401,NOLSM2971127297,1,2,3,3,3,12333,76
402,NOLSM5532113,1,2,3,3,3,12333,57
403,NOLSM4822148,1,2,3,3,3,12333,128
404,NOLSM8033020,1,2,3,3,3,12333,18
405,NOLSM130522,1,3,1,1,1,13111,127
406,NOLSM547217547,1,3,1,1,1,13111,60
407,NOLSM301124301,1,3,1,1,1,13111,153
408,NOLSM7802924,1,3,1,1,1,13111,33
409,NOLSM613761,1,3,1,1,1,13111,98
410,NOLSM544214544,1,3,1,1,1,13111,114
411,NOLSM3225,1,3,1,1,1,13111,149
412,NOLSM583458,1,3,1,1,1,13111,227
413,NOLSM541211541,1,3,1,1,1,13111,120
414,NOLSM553155,1,3,1,1,1,13111,115
415,NOLSM5802213,1,3,1,1,1,13111,69
416,NOLSM4771818,1,3,1,1,1,13111,30
417,NOLSM298121298,1,3,1,1,1,13111,68
418,NOLSM332138,1,3,1,1,1,13111,167
419,NOLSM784301784,1,3,1,1,1,13111,222
420,NOLSM7292727,1,3,1,1,1,13111,42
421,NOLSM678263,1,3,1,1,1,13111,147
422,NOLSM231915,1,3,1,1,1,13111,90
423,NOLSM5292016,1,3,1,1,1,13111,114
424,NOLSM630249,1,3,1,1,1,13111,90
425,NOLSM790307790,1,3,1,1,1,13111,60
426,NOLSM8283118,1,3,1,1,1,13111,51
427,NOLSM382154,1,3,1,1,1,13111,89
428,NOLSM2811111,1,3,1,1,1,13111,113
429,NOLSM787304787,1,3,1,1,1,13111,219
430,NOLSM80326,1,3,1,1,1,13111,127
431,NOLSM180718,1,3,1,1,1,13111,200
432,NOLSM304127304,1,3,1,1,1,13111,118
433,NOLSM4301625,1,3,1,1,1,13111,57
434,NOLSM563256,1,3,1,2,2,13122,190
435,NOLSM623862,1,3,1,2,2,13122,99
436,NOLSM548218548,1,3,1,2,2,13122,120
437,NOLSM302125302,1,3,1,2,2,13122,29
438,NOLSM593559,1,3,1,2,2,13122,102
439,NOLSM791308791,1,3,1,2,2,13122,96
440,NOLSM299122299,1,3,1,2,2,13122,142
441,NOLSM542212542,1,3,1,2,2,13122,111
442,NOLSM788305788,1,3,1,2,2,13122,135
443,NOLSM305128305,1,3,1,2,2,13122,120
444,NOLSM545215545,1,3,1,2,2,13122,117
445,NOLSM785302785,1,3,1,2,2,13122,213
446,NOLSM633963,1,3,1,3,3,13133,75
447,NOLSM5542114,1,3,1,3,3,13133,54
448,NOLSM573357,1,3,1,3,3,13133,76
449,NOLSM543213543,1,3,1,3,3,13133,54
450,NOLSM306129,1,3,1,3,3,13133,178
451,NOLSM603660,1,3,1,3,3,13133,121
452,NOLSM546216546,1,3,1,3,3,13133,141
453,NOLSM6062312,1,3,1,3,3,13133,231
454,NOLSM549219549,1,3,1,3,3,13133,69
455,NOLSM5041918,1,3,1,3,3,13133,399
456,NOLSM4051527,1,3,1,3,3,13133,91
457,NOLSM705273,1,3,1,3,3,13133,66
458,NOLSM206817,1,3,1,3,3,13133,128
459,NOLSM303126303,1,3,1,3,3,13133,66
460,NOLSM654256,1,3,1,3,3,13133,237
461,NOLSM792309792,1,3,1,3,3,13133,72
462,NOLSM300123300,1,3,1,3,3,13133,75
463,NOLSM306129306,1,3,1,3,3,13133,178
464,NOLSM786303786,1,3,1,3,3,13133,138
465,NOLSM4531721,1,3,1,3,3,13133,68
466,NOLSM789306789,1,3,1,3,3,13133,99
467,NOLSM8043021,1,3,1,3,3,13133,21
468,NOLSM3071210307,1,3,2,1,1,13211,102
469,NOLSM3101213310,1,3,2,1,1,13211,73
470,NOLSM7933010793,1,3,2,1,1,13211,9
471,NOLSM5502110550,1,3,2,1,1,13211,99
472,NOLSM7993016799,1,3,2,1,1,13211,48
473,NOLSM6731367,1,3,2,1,1,13211,84
474,NOLSM5532113553,1,3,2,1,1,13211,57
475,NOLSM5562116556,1,3,2,1,1,13211,69
476,NOLSM7963013796,1,3,2,1,1,13211,54
477,NOLSM3131216313,1,3,2,1,1,13211,54
478,NOLSM6431064,1,3,2,1,1,13211,181
479,NOLSM7031670,1,3,2,1,1,13211,70
480,NOLSM655257,1,3,2,2,2,13222,495
481,NOLSM6831468,1,3,2,2,2,13222,99
482,NOLSM6312410,1,3,2,2,2,13222,126
483,NOLSM5552115,1,3,2,2,2,13222,48
484,NOLSM7131771,1,3,2,2,2,13222,95
485,NOLSM406161,1,3,2,2,2,13222,139
486,NOLSM105424,1,3,2,2,2,13222,121
487,NOLSM6072313,1,3,2,2,2,13222,126
488,NOLSM5051919,1,3,2,2,2,13222,18
489,NOLSM8293119,1,3,2,2,2,13222,18
490,NOLSM8053022,1,3,2,2,2,13222,6
491,NOLSM7943011794,1,3,2,2,2,13222,72
492,NOLSM5834,1,3,2,2,2,13222,227
493,NOLSM157622,1,3,2,2,2,13222,31
494,NOLSM6531165,1,3,2,2,2,13222,87
495,NOLSM207818,1,3,2,2,2,13222,88
496,NOLSM2821112,1,3,2,2,2,13222,85
497,NOLSM3141217314,1,3,2,2,2,13222,84
498,NOLSM3111214311,1,3,2,2,2,13222,97
499,NOLSM333139,1,3,2,2,2,13222,45
500,NOLSM4541722,1,3,2,2,2,13222,46
501,NOLSM131523,1,3,2,2,2,13222,96
502,NOLSM730281,1,3,2,2,2,13222,99
503,NOLSM358147,1,3,2,2,2,13222,161
504,NOLSM2551012,1,3,2,2,2,13222,159
505,NOLSM5512111551,1,3,2,2,2,13222,108
506,NOLSM7562827,1,3,2,2,2,13222,171
507,NOLSM5542114554,1,3,2,2,2,13222,54
508,NOLSM3071210,1,3,2,2,2,13222,102
509,NOLSM4311626,1,3,2,2,2,13222,49
510,NOLSM232916,1,3,2,2,2,13222,114
511,NOLSM81327,1,3,2,2,2,13222,88
512,NOLSM5812214,1,3,2,2,2,13222,18
513,NOLSM706274,1,3,2,2,2,13222,93
514,NOLSM4781819,1,3,2,2,2,13222,18
515,NOLSM8003017800,1,3,2,2,2,13222,15
516,NOLSM181719,1,3,2,2,2,13222,136
517,NOLSM7973014797,1,3,2,2,2,13222,84
518,NOLSM5302017,1,3,2,2,2,13222,135
519,NOLSM679264,1,3,2,2,2,13222,129
520,NOLSM717,1,3,2,2,2,13222,97
521,NOLSM5572117557,1,3,2,2,2,13222,66
522,NOLSM3081211308,1,3,2,2,2,13222,105
523,NOLSM3151218315,1,3,2,3,3,13233,30
524,NOLSM6931569,1,3,2,3,3,13233,193
525,NOLSM3121215312,1,3,2,3,3,13233,86
526,NOLSM7231872,1,3,2,3,3,13233,142
527,NOLSM6631266,1,3,2,3,3,13233,155
528,NOLSM7953012795,1,3,2,3,3,13233,30
529,NOLSM7983015798,1,3,2,3,3,13233,30
530,NOLSM3091212309,1,3,2,3,3,13233,97
531,NOLSM8013018801,1,3,2,3,3,13233,57
532,NOLSM5522112552,1,3,2,3,3,13233,129
533,NOLSM5552115555,1,3,2,3,3,13233,48
534,NOLSM5582118558,1,3,2,3,3,13233,75
535,NOLSM2561013,1,3,3,1,1,13311,84
536,NOLSM3081211,1,3,3,1,1,13311,105
537,NOLSM359148,1,3,3,1,1,13311,145
538,NOLSM7932579,1,3,3,1,1,13311,79
539,NOLSM8053022805,1,3,3,1,1,13311,6
540,NOLSM5935,1,3,3,1,1,13311,102
541,NOLSM757291,1,3,3,1,1,13311,186
542,NOLSM407162,1,3,3,1,1,13311,118
543,NOLSM7331973,1,3,3,1,1,13311,115
544,NOLSM8063023,1,3,3,1,1,13311,30
545,NOLSM7632276,1,3,3,1,1,13311,87
546,NOLSM8083025808,1,3,3,1,1,13311,36
547,NOLSM8023019802,1,3,3,1,1,13311,18
548,NOLSM707275,1,3,3,1,1,13311,165
549,NOLSM5061920,1,3,3,1,1,13311,75
550,NOLSM5652125565,1,3,3,1,1,13311,57
551,NOLSM818,1,3,3,1,1,13311,92
552,NOLSM3191222319,1,3,3,1,1,13311,83
553,NOLSM656258,1,3,3,1,1,13311,477
554,NOLSM3221225322,1,3,3,1,1,13311,136
555,NOLSM106425,1,3,3,1,1,13311,40
556,NOLSM208819,1,3,3,1,1,13311,114
557,NOLSM158623,1,3,3,1,1,13311,71
558,NOLSM5592119559,1,3,3,1,1,13311,36
559,NOLSM6082314,1,3,3,1,1,13311,75
560,NOLSM5562116,1,3,3,1,1,13311,69
561,NOLSM5622122562,1,3,3,1,1,13311,144
562,NOLSM4551723,1,3,3,1,1,13311,89
563,NOLSM3161219316,1,3,3,1,1,13311,48
564,NOLSM3171220317,1,3,3,2,2,13322,15
565,NOLSM3201223320,1,3,3,2,2,13322,102
566,NOLSM3231226323,1,3,3,2,2,13322,122
567,NOLSM8033020803,1,3,3,2,2,13322,18
568,NOLSM8063023806,1,3,3,2,2,13322,30
569,NOLSM5602120560,1,3,3,2,2,13322,63
570,NOLSM8032680,1,3,3,2,2,13322,127
571,NOLSM7732377,1,3,3,2,2,13322,160
572,NOLSM5662126566,1,3,3,2,2,13322,126
573,NOLSM8093026809,1,3,3,2,2,13322,39
574,NOLSM7432074,1,3,3,2,2,13322,64
575,NOLSM5632123563,1,3,3,2,2,13322,159
576,NOLSM3211224321,1,3,3,3,3,13333,86
577,NOLSM6322411,1,3,3,3,3,13333,192
578,NOLSM182720,1,3,3,3,3,13333,123
579,NOLSM731282,1,3,3,3,3,13333,51
580,NOLSM3181221318,1,3,3,3,3,13333,50
581,NOLSM5672127567,1,3,3,3,3,13333,117
582,NOLSM3326,1,3,3,3,3,13333,77
583,NOLSM383155,1,3,3,3,3,13333,138
584,NOLSM5642124564,1,3,3,3,3,13333,96
585,NOLSM3341310,1,3,3,3,3,13333,168
586,NOLSM132524,1,3,3,3,3,13333,127
587,NOLSM7532175,1,3,3,3,3,13333,113
588,NOLSM4321627,1,3,3,3,3,13333,152
589,NOLSM8103027810,1,3,3,3,3,13333,15
590,NOLSM2831113,1,3,3,3,3,13333,80
591,NOLSM8303120,1,3,3,3,3,13333,12
592,NOLSM680265,1,3,3,3,3,13333,93
593,NOLSM4791820,1,3,3,3,3,13333,81
594,NOLSM233917,1,3,3,3,3,13333,130
595,NOLSM8073024807,1,3,3,3,3,13333,87
596,NOLSM5822215,1,3,3,3,3,13333,84
597,NOLSM8241,1,3,3,3,3,13333,140
598,NOLSM5612121561,1,3,3,3,3,13333,48
599,NOLSM3241227324,1,3,3,3,3,13333,217
600,NOLSM7832478,1,3,3,3,3,13333,121
601,NOLSM7812925,1,3,3,3,3,13333,117
602,NOLSM5312018,1,3,3,3,3,13333,54
603,NOLSM8043021804,1,3,3,3,3,13333,21
604,NOLSM8132781,1,3,3,3,3,13333,88
605,NOLSM3091212,2,1,1,1,1,21111,97
606,NOLSM209820,2,1,1,1,1,21111,86
607,NOLSM107426,2,1,1,1,1,21111,79
608,NOLSM159624,2,1,1,1,1,21111,61
609,NOLSM884788,2,1,1,1,1,21111,169
610,NOLSM854485,2,1,1,1,1,21111,60
611,NOLSM6036,2,1,1,1,1,21111,121
612,NOLSM824182,2,1,1,1,1,21111,140
613,NOLSM6092315,2,1,1,1,1,21111,84
614,NOLSM8073024,2,1,1,1,1,21111,87
615,NOLSM758292,2,1,1,1,1,21111,132
616,NOLSM708276,2,1,1,1,1,21111,105
617,NOLSM817317817,2,1,1,1,1,21111,30
618,NOLSM814314814,2,1,1,1,1,21111,114
619,NOLSM811311811,2,1,1,1,1,21111,18
620,NOLSM657259,2,1,1,1,1,21111,444
621,NOLSM2571014,2,1,1,1,1,21111,180
622,NOLSM325131325,2,1,1,1,1,21111,141
623,NOLSM331137331,2,1,1,1,1,21111,115
624,NOLSM568221568,2,1,1,1,1,21111,93
625,NOLSM328134328,2,1,1,1,1,21111,105
626,NOLSM919,2,1,1,1,1,21111,86
627,NOLSM5071921,2,1,1,1,1,21111,57
628,NOLSM360149,2,1,1,1,1,21111,151
629,NOLSM571224571,2,1,1,1,1,21111,99
630,NOLSM5572117,2,1,1,1,1,21111,66
631,NOLSM408163,2,1,1,1,1,21111,187
632,NOLSM4561724,2,1,1,1,1,21111,121
633,NOLSM574227574,2,1,1,1,1,21111,45
634,NOLSM812312812,2,1,1,2,2,21122,126
635,NOLSM834283,2,1,1,2,2,21122,144
636,NOLSM575228575,2,1,1,2,2,21122,39
637,NOLSM894889,2,1,1,2,2,21122,167
638,NOLSM332138332,2,1,1,2,2,21122,167
639,NOLSM818318818,2,1,1,2,2,21122,48
640,NOLSM572225572,2,1,1,2,2,21122,72
641,NOLSM569222569,2,1,1,2,2,21122,102
642,NOLSM329135329,2,1,1,2,2,21122,79
643,NOLSM815315815,2,1,1,2,2,21122,54
644,NOLSM326132326,2,1,1,2,2,21122,55
645,NOLSM864586,2,1,1,2,2,21122,102
646,NOLSM3351311,2,1,1,3,3,21133,156
647,NOLSM874687,2,1,1,3,3,21133,35
648,NOLSM183721,2,1,1,3,3,21133,112
649,NOLSM8313121,2,1,1,3,3,21133,159
650,NOLSM904990,2,1,1,3,3,21133,110
651,NOLSM816316816,2,1,1,3,3,21133,84
652,NOLSM813313813,2,1,1,3,3,21133,96
653,NOLSM8342,2,1,1,3,3,21133,144
654,NOLSM576229576,2,1,1,3,3,21133,75
655,NOLSM573226573,2,1,1,3,3,21133,102
656,NOLSM433171,2,1,1,3,3,21133,140
657,NOLSM234918,2,1,1,3,3,21133,115
658,NOLSM570223570,2,1,1,3,3,21133,108
659,NOLSM681266,2,1,1,3,3,21133,120
660,NOLSM133525,2,1,1,3,3,21133,59
661,NOLSM5322019,2,1,1,3,3,21133,117
662,NOLSM7822926,2,1,1,3,3,21133,186
663,NOLSM844384,2,1,1,3,3,21133,33
664,NOLSM819319819,2,1,1,3,3,21133,15
665,NOLSM4801821,2,1,1,3,3,21133,63
666,NOLSM333139333,2,1,1,3,3,21133,45
667,NOLSM5832216,2,1,1,3,3,21133,45
668,NOLSM6332412,2,1,1,3,3,21133,72
669,NOLSM384156,2,1,1,3,3,21133,154
670,NOLSM327133327,2,1,1,3,3,21133,96
671,NOLSM732283,2,1,1,3,3,21133,90
672,NOLSM3427,2,1,1,3,3,21133,105
673,NOLSM2841114,2,1,1,3,3,21133,139
674,NOLSM330136330,2,1,1,3,3,21133,96
675,NOLSM3341310334,2,1,2,1,1,21211,54
676,NOLSM9741697,2,1,2,1,1,21211,64
677,NOLSM8233113823,2,1,2,1,1,21211,54
678,NOLSM9141091,2,1,2,1,1,21211,214
679,NOLSM3401316340,2,1,2,1,1,21211,31
680,NOLSM3371313337,2,1,2,1,1,21211,48
681,NOLSM8263116826,2,1,2,1,1,21211,48
682,NOLSM5772210577,2,1,2,1,1,21211,69
683,NOLSM5832216583,2,1,2,1,1,21211,45
684,NOLSM8203110820,2,1,2,1,1,21211,9
685,NOLSM5802213580,2,1,2,1,1,21211,69
686,NOLSM9441394,2,1,2,1,1,21211,56
687,NOLSM108427,2,1,2,2,2,21222,146
688,NOLSM2851115,2,1,2,2,2,21222,125
689,NOLSM3101213,2,1,2,2,2,21222,73
690,NOLSM759293,2,1,2,2,2,21222,150
691,NOLSM5842217,2,1,2,2,2,21222,57
692,NOLSM6137,2,1,2,2,2,21222,98
693,NOLSM682267,2,1,2,2,2,21222,90
694,NOLSM10110,2,1,2,2,2,21222,102
695,NOLSM134526,2,1,2,2,2,21222,111
696,NOLSM3411317341,2,1,2,2,2,21222,238
697,NOLSM5081922,2,1,2,2,2,21222,9
698,NOLSM434172,2,1,2,2,2,21222,96
699,NOLSM235919,2,1,2,2,2,21222,57
700,NOLSM3381314338,2,1,2,2,2,21222,15
701,NOLSM8443,2,1,2,2,2,21222,33
702,NOLSM6582510,2,1,2,2,2,21222,459
703,NOLSM2581015,2,1,2,2,2,21222,115
704,NOLSM3351311335,2,1,2,2,2,21222,84
705,NOLSM7832927,2,1,2,2,2,21222,207
706,NOLSM5842217584,2,1,2,2,2,21222,57
707,NOLSM6102316,2,1,2,2,2,21222,225
708,NOLSM5812214581,2,1,2,2,2,21222,18
709,NOLSM5782211578,2,1,2,2,2,21222,99
710,NOLSM9541495,2,1,2,2,2,21222,110
711,NOLSM709277,2,1,2,2,2,21222,126
712,NOLSM9841798,2,1,2,2,2,21222,78
713,NOLSM8083025,2,1,2,2,2,21222,36
714,NOLSM8213111821,2,1,2,2,2,21222,111
715,NOLSM8273117827,2,1,2,2,2,21222,15
716,NOLSM5582118,2,1,2,2,2,21222,75
717,NOLSM4811822,2,1,2,2,2,21222,21
718,NOLSM409164,2,1,2,2,2,21222,127
719,NOLSM8323122,2,1,2,2,2,21222,93
720,NOLSM9241192,2,1,2,2,2,21222,64
721,NOLSM3361312,2,1,2,2,2,21222,112
722,NOLSM3528,2,1,2,2,2,21222,176
723,NOLSM5332020,2,1,2,2,2,21222,75
724,NOLSM733284,2,1,2,2,2,21222,132
725,NOLSM8243114824,2,1,2,2,2,21222,84
726,NOLSM3611410,2,1,2,2,2,21222,110
727,NOLSM184722,2,1,2,2,2,21222,101
728,NOLSM160625,2,1,2,2,2,21222,120
729,NOLSM9641596,2,1,2,3,3,21233,115
730,NOLSM3361312336,2,1,2,3,3,21233,30
731,NOLSM5852218585,2,1,2,3,3,21233,51
732,NOLSM5822215582,2,1,2,3,3,21233,84
733,NOLSM5792212579,2,1,2,3,3,21233,66
734,NOLSM9941899,2,1,2,3,3,21233,201
735,NOLSM9341293,2,1,2,3,3,21233,140
736,NOLSM8223112822,2,1,2,3,3,21233,129
737,NOLSM8283118828,2,1,2,3,3,21233,51
738,NOLSM3421318342,2,1,2,3,3,21233,173
739,NOLSM3391315339,2,1,2,3,3,21233,87
740,NOLSM8253115825,2,1,2,3,3,21233,30
741,NOLSM103422103,2,1,3,1,1,21311,95
742,NOLSM6342413,2,1,3,1,1,21311,60
743,NOLSM100419100,2,1,3,1,1,21311,110
744,NOLSM135527,2,1,3,1,1,21311,71
745,NOLSM8544,2,1,3,1,1,21311,60
746,NOLSM385157,2,1,3,1,1,21311,62
747,NOLSM106425106,2,1,3,1,1,21311,40
748,NOLSM5342021,2,1,3,1,1,21311,120
749,NOLSM3431319343,2,1,3,1,1,21311,103
750,NOLSM3629,2,1,3,1,1,21311,115
751,NOLSM5892222589,2,1,3,1,1,21311,81
752,NOLSM5862219586,2,1,3,1,1,21311,66
753,NOLSM8293119829,2,1,3,1,1,21311,18
754,NOLSM185723,2,1,3,1,1,21311,78
755,NOLSM4821823,2,1,3,1,1,21311,15
756,NOLSM8333123,2,1,3,1,1,21311,168
757,NOLSM3371313,2,1,3,1,1,21311,68
758,NOLSM5922225592,2,1,3,1,1,21311,114
759,NOLSM8323122832,2,1,3,1,1,21311,54
760,NOLSM3491325349,2,1,3,1,1,21311,78
761,NOLSM3461322346,2,1,3,1,1,21311,28
762,NOLSM435173,2,1,3,1,1,21311,54
763,NOLSM8353125835,2,1,3,1,1,21311,48
