,No_Die,Ox_Chamber,photo_soft_Chamber,lithography_Chamber,Etching_Chamber,Chamber_Num,Sum,Target
1078,NOLSM6642516,2,3,2,2,2,23222,279
1079,NOLSM439177,2,3,2,2,2,23222,141
1080,NOLSM6382417,2,3,2,2,2,23222,102
1081,NOLSM5892222,2,3,2,2,2,23222,81
1082,NOLSM41214,2,3,2,2,2,23222,99
1083,NOLSM462183,2,3,2,2,2,23222,30
1084,NOLSM7392810,2,3,2,2,2,23222,72
1085,NOLSM6322411632,2,3,2,2,2,23222,84
1086,NOLSM7152713,2,3,2,2,2,23222,84
1087,NOLSM814314,2,3,2,2,2,23222,114
1088,NOLSM3951517395,2,3,2,2,2,23222,118
1089,NOLSM3671416,2,3,2,2,2,23222,202
1090,NOLSM3901512,2,3,2,2,2,23222,95
1091,NOLSM11355,2,3,2,2,2,23222,203
1092,NOLSM3151218,2,3,2,2,2,23222,98
1093,NOLSM838321,2,3,2,2,2,23222,96
1094,NOLSM5382025,2,3,2,2,2,23222,117
1095,NOLSM6152321,2,3,2,2,2,23222,123
1096,NOLSM16674,2,3,2,2,2,23222,60
1097,NOLSM6352414635,2,3,2,2,2,23222,15
1098,NOLSM16116,2,3,2,2,2,23222,124
1099,NOLSM487191,2,3,2,2,2,23222,51
1100,NOLSM19081,2,3,2,2,2,23222,110
1101,NOLSM5131927,2,3,2,2,2,23222,66
1102,NOLSM5632123,2,3,2,2,2,23222,159
1103,NOLSM4151610,2,3,2,2,2,23222,61
1104,NOLSM789306,2,3,2,2,2,23222,99
1105,NOLSM765299,2,3,2,2,2,23222,0
1106,NOLSM6882613,2,3,2,2,2,23222,240
1107,NOLSM14065,2,3,2,2,2,23222,99
1108,NOLSM240924,2,3,2,2,2,23222,68
1109,NOLSM215826,2,3,2,2,2,23222,105
1110,NOLSM3901512390,2,3,2,3,3,23233,95
1111,NOLSM3931515393,2,3,2,3,3,23233,88
1112,NOLSM147612147,2,3,2,3,3,23233,104
1113,NOLSM150615150,2,3,2,3,3,23233,106
1114,NOLSM6332412633,2,3,2,3,3,23233,30
1115,NOLSM6362415636,2,3,2,3,3,23233,150
1116,NOLSM153618153,2,3,2,3,3,23233,68
1117,NOLSM6392418639,2,3,2,3,3,23233,108
1118,NOLSM3961518396,2,3,2,3,3,23233,159
1119,NOLSM6392418,2,3,3,1,1,23311,108
1120,NOLSM2921122,2,3,3,1,1,23311,89
1121,NOLSM3971519397,2,3,3,1,1,23311,127
1122,NOLSM790307,2,3,3,1,1,23311,60
1123,NOLSM5902223,2,3,3,1,1,23311,87
1124,NOLSM3911513,2,3,3,1,1,23311,117
1125,NOLSM488192,2,3,3,1,1,23311,27
1126,NOLSM42215,2,3,3,1,1,23311,62
1127,NOLSM4031525403,2,3,3,1,1,23311,60
1128,NOLSM4001522400,2,3,3,1,1,23311,88
1129,NOLSM14166,2,3,3,1,1,23311,131
1130,NOLSM241925,2,3,3,1,1,23311,101
1131,NOLSM7402811,2,3,3,1,1,23311,57
1132,NOLSM6402419640,2,3,3,1,1,23311,51
1133,NOLSM839322,2,3,3,1,1,23311,117
1134,NOLSM6892614,2,3,3,1,1,23311,165
1135,NOLSM5392026,2,3,3,1,1,23311,66
1136,NOLSM3431319,2,3,3,1,1,23311,103
1137,NOLSM9049,2,3,3,1,1,23311,110
1138,NOLSM6462425646,2,3,3,1,1,23311,54
1139,NOLSM19182,2,3,3,1,1,23311,93
1140,NOLSM440178,2,3,3,1,1,23311,78
1141,NOLSM154619154,2,3,3,1,1,23311,69
1142,NOLSM157622157,2,3,3,1,1,23311,31
1143,NOLSM160625160,2,3,3,1,1,23311,120
1144,NOLSM6432422643,2,3,3,1,1,23311,54
1145,NOLSM4011523401,2,3,3,2,2,23322,79
1146,NOLSM155620155,2,3,3,2,2,23322,107
1147,NOLSM4041526404,2,3,3,2,2,23322,54
1148,NOLSM6412420641,2,3,3,2,2,23322,93
1149,NOLSM6442423644,2,3,3,2,2,23322,51
1150,NOLSM6472426647,2,3,3,2,2,23322,51
1151,NOLSM161626161,2,3,3,2,2,23322,135
1152,NOLSM3981520398,2,3,3,2,2,23322,69
1153,NOLSM158623158,2,3,3,2,2,23322,71
1154,NOLSM4161611,2,3,3,3,3,23333,118
1155,NOLSM4021524402,2,3,3,3,3,23333,92
1156,NOLSM67313,2,3,3,3,3,23333,84
1157,NOLSM815315,2,3,3,3,3,23333,54
1158,NOLSM216827,2,3,3,3,3,23333,81
1159,NOLSM159624159,2,3,3,3,3,23333,61
1160,NOLSM5642124,2,3,3,3,3,23333,96
1161,NOLSM17117,2,3,3,3,3,23333,71
1162,NOLSM156621156,2,3,3,3,3,23333,75
1163,NOLSM463184,2,3,3,3,3,23333,15
1164,NOLSM3991521399,2,3,3,3,3,23333,93
1165,NOLSM7162714,2,3,3,3,3,23333,57
1166,NOLSM162627162,2,3,3,3,3,23333,135
1167,NOLSM6482427648,2,3,3,3,3,23333,15
1168,NOLSM4051527405,2,3,3,3,3,23333,91
1169,NOLSM3161219,2,3,3,3,3,23333,108
1170,NOLSM2651022,2,3,3,3,3,23333,80
1171,NOLSM6422421642,2,3,3,3,3,23333,81
1172,NOLSM3681417,2,3,3,3,3,23333,84
1173,NOLSM6652517,2,3,3,3,3,23333,207
1174,NOLSM11456,2,3,3,3,3,23333,168
1175,NOLSM7662910,2,3,3,3,3,23333,21
1176,NOLSM16775,2,3,3,3,3,23333,105
1177,NOLSM6452424645,2,3,3,3,3,23333,111
1178,NOLSM514201,2,3,3,3,3,23333,96
1179,NOLSM6162322,2,3,3,3,3,23333,72
1180,NOLSM2931123,3,1,1,1,1,31111,110
1181,NOLSM6402419,3,1,1,1,1,31111,51
1182,NOLSM91410,3,1,1,1,1,31111,214
1183,NOLSM5912224,3,1,1,1,1,31111,120
1184,NOLSM441179,3,1,1,1,1,31111,205
1185,NOLSM19283,3,1,1,1,1,31111,106
1186,NOLSM43216,3,1,1,1,1,31111,125
1187,NOLSM489193,3,1,1,1,1,31111,51
1188,NOLSM409164409,3,1,1,1,1,31111,127
1189,NOLSM791308,3,1,1,1,1,31111,96
1190,NOLSM16977169,3,1,1,1,1,31111,112
1191,NOLSM649251649,3,1,1,1,1,31111,54
1192,NOLSM5402027,3,1,1,1,1,31111,102
1193,NOLSM7412812,3,1,1,1,1,31111,129
