PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB563182,2008-08-01:19:90:28,양품,API-2W-50T,T3,25.23,2616,30128,62440,2호기,2,1151,63,1138,69,250,1128,854,적용,8,4조
PB563183,2008-08-01:19:90:54,양품,API-2W-50T,T3,25.23,1990,39606,46830,3호기,1,1180,67,1159,65,251,1145,843,적용,8,1조
PB563184,2008-08-01:19:91:30,양품,GL-A36-TM,T7,36.3,2490,21986,31200,3호기,2,1189,53,1165,82,265,1160,882,적용,8,1조
PB563185,2008-08-01:19:91:41,양품,BV-EH32-TM,T1,35.29,3059,19553,16570,1호기,2,1140,55,1128,84,258,1120,936,적용,8,1조
PB563186,2008-08-01:19:92:08,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,1,1165,69,1138,77,263,1130,875,적용,8,4조
PB563187,2008-08-01:19:92:22,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,1,1106,57,1126,87,261,1113,873,적용,8,4조
PB563188,2008-08-01:19:92:50,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,2,1157,59,1133,81,247,1124,879,적용,8,4조
PB563189,2008-08-01:19:93:33,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,1,1175,65,1148,88,264,1140,875,적용,8,1조
PB563190,2008-08-01:19:93:41,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,2,1174,61,1148,91,268,1138,870,적용,8,2조
PB563191,2008-08-01:19:94:45,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,1,1170,56,1137,83,263,1123,881,적용,8,2조
PB563192,2008-08-01:19:94:11,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,2,1124,70,1116,80,265,1104,879,적용,8,4조
PB563193,2008-08-01:19:94:56,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,1,1117,53,1123,90,266,1113,873,적용,8,2조
PB563194,2008-08-01:19:95:17,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,2,1157,61,1124,88,256,1112,881,적용,8,4조
PB563195,2008-08-01:19:95:14,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,1,1149,69,1138,95,269,1124,880,적용,8,3조
PB563196,2008-08-01:19:95:44,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,3호기,2,1150,64,1140,95,271,1132,871,적용,8,3조
PB563197,2008-08-01:20:00:16,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,1,1151,66,1129,89,271,1115,873,적용,8,2조
PB563198,2008-08-01:20:00:49,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,1호기,2,1126,73,1118,89,270,1110,868,적용,8,4조
PB563199,2008-08-01:20:01:07,양품,BV-EH36-TM,T8,38.33,3099,16740,15610,2호기,1,1155,71,1127,87,265,1113,875,적용,8,1조
PB563200,2008-08-01:20:01:15,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,2호기,2,1151,61,1122,105,273,1109,880,적용,8,2조
PB563201,2008-08-01:20:01:53,양품,COMMON,T8,38.43,3129,16187,15280,3호기,1,1132,63,1134,109,280,1121,876,적용,8,2조
PB563202,2008-08-01:20:02:58,불량,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,2,1164,77,1136,90,278,1124,897,적용,5,4조
PB563203,2008-08-01:20:02:10,양품,NV-A32-TM,T0,40.35,2772,25978,45620,3호기,1,1171,67,1139,94,276,1124,897,적용,6,1조
PB563204,2008-08-01:20:03:22,양품,GL-A36-TM,T7,40.35,2481,22663,35620,1호기,2,1124,63,1121,107,269,1116,815,적용,6,1조
PB563205,2008-08-01:20:04:03,양품,GL-A36-TM,T7,40.35,2481,22663,35620,2호기,1,1162,85,1126,93,278,1119,802,적용,6,1조
PB563206,2008-08-01:20:04:50,양품,GL-A36-TM,T7,40.35,2481,22663,35620,3호기,2,1169,87,1138,83,286,1123,805,적용,6,3조
PB563207,2008-08-01:20:05:43,양품,GL-A36-TM,T7,40.35,2481,22663,35620,1호기,2,1138,65,1125,108,283,1111,817,적용,6,2조
PB563208,2008-08-01:20:05:10,양품,NV-D32-TM,T0,40.34,2132,26513,35800,3호기,1,1173,92,1138,80,291,1128,895,적용,6,4조
